20221209	11:43:32	fe97e9d4-d67e-4561-a271-cb5043c403b1	POST	undefined	/auth
20221209	11:43:37	41185f77-fb8a-4804-8eca-c13ce5e306e1	GET	undefined	/refresh
20221209	11:43:37	af3102f6-3c0c-45ec-bfd0-e11c4723c1ad	GET	undefined	/refresh
20221209	11:43:44	33971bf1-22b2-42bb-8fe8-80374e08776e	GET	undefined	/employees
20221209	11:43:45	c7086666-cb2f-4520-9cf5-f3e4affeec88	GET	undefined	/employees
20221209	11:43:45	599d1b2f-016f-4726-b2d6-3f9fe6a6a241	GET	undefined	/employees
20221209	11:43:45	18b921c3-ba18-4a76-84a7-4d22bcf0927e	GET	undefined	/employees
20221209	11:45:11	e73665b3-5afd-4a12-94c5-cfe4a33c227d	POST	undefined	/auth
20221209	11:45:29	bb70728f-1d82-44e4-841a-741356aa554b	POST	undefined	/employees
20221209	11:45:31	857ef603-4142-42e6-8744-0352bc6211f9	POST	undefined	/employees
20221209	11:45:36	d1732447-12c0-4263-befe-9a851b6c2593	POST	undefined	/employees
20221209	11:45:37	aa9a3d1e-a9c1-4176-868f-16b650d19da5	POST	undefined	/employees
20221209	11:45:38	8b341485-41ec-409f-b7b3-9e0c2580cf7b	POST	undefined	/employees
20221209	11:46:31	c928102c-5e4a-4562-8dca-0221d1b18ce7	GET	undefined	/employees
20221209	11:46:36	4715c828-87de-4035-959e-792cec59c725	GET	undefined	/employees
20221209	11:46:37	9505ebf3-7e7e-4f5b-9c44-8784f44f3af7	GET	undefined	/employees
20221209	11:48:46	fc0c87b2-0fab-4b72-b3d9-db766a199e3e	GET	undefined	/employees
20221209	11:48:46	74aefd1f-c8d9-4bde-a909-6b898927f506	GET	undefined	/employees
20221209	11:48:47	2db7e872-90f9-46c5-b2aa-e83ce1b32edb	GET	undefined	/employees
20221209	11:48:47	d4d11df4-d864-49d9-91d0-a7ae90f131db	GET	undefined	/employees
20221209	11:48:52	eb961c01-f9e5-4b3a-a97b-35eac90d34b2	POST	undefined	/auth
20221209	11:48:54	1ef4b94b-f1b9-40d0-b652-5d850272854f	POST	undefined	/auth
